,2009 closeness centrality top 10,2009 centrality,2010 closeness centrality top 10,2010 centrality,2011 closeness centrality top 10,2011 centrality,2012 closeness centrality top 10,2012 centrality,2013 closeness centrality top 10,2013 centrality,2014 closeness centrality top 10,2014 centrality,2015 closeness centrality top 10,2015 centrality
0,T Waters,0.19993367141592208,T Waters,0.19993367141592208,B Klug,0.37170219894730294,Y Ren,0.42355273493774925,Charles Kennedy,0.4765831020961844,Tercon Bojan,0.5619263703598061,D Brown,0.5074881546910973
1,Rob Butler,0.1918056688165666,Rob Butler,0.1918056688165666,R Young,0.3710871034666687,Steven Cao,0.4128194297638882,K Le Quang,0.47432668281796714,J Rose,0.5411198185818401,M LaPrairie,0.49952632138314457
2,Jess Hill,0.18417822704312414,Jess Hill,0.18417822704312414,Mark Hurter,0.3672583305353879,Filip Maciagowski,0.4122049744642625,Roger Stone,0.4711160640172755,J Smith,0.5400280982151765,Ed Roggeveen,0.4886124464925123
3,N Werner,0.18377594478529422,N Werner,0.18377594478529422,C Johnson,0.3608172753417665,A Smith,0.40981198030402605,Michael Little,0.47071360137271034,D Graubard,0.5372328331422834,Michel Perrin,0.48562308986166625
4,Norman Mitchell,0.18152913352218744,Norman Mitchell,0.18152913352218744,Frank Mauz,0.3530907520467767,N Werner,0.40776965080653177,Fang Jun,0.47071360137271034,Saketh Rahm,0.5333173883118105,J Rose,0.4851632195114185
5,A Panah,0.17498527567598032,A Panah,0.17498527567598032,N Shyshkin,0.3530351647117568,J Bacallado,0.40625121270264825,E Birman,0.4616108599890018,D Lee,0.5305079658834221,R Simon,0.4831252428499474
6,P McCarthy,0.17498527567598032,P McCarthy,0.17498527567598032,K Murray,0.34761732541452156,Mickael Chia,0.40171817082915295,P J Trebuchet,0.4599731449379104,C Kay,0.5291831449915639,D Jason,0.48254610479019067
7,Terry Stokes,0.17492464321732612,Terry Stokes,0.17492464321732612,Tony Hall,0.34750958720735764,Ian Roberts,0.4015837419934042,F Wong,0.458855930498436,Anders Pedersen,0.5282212936166831,W Coenik,0.4810632486423079
8,S Smith,0.1747429976895823,S Smith,0.1747429976895823,Peter Pomeranze,0.3474557431436441,J Tydeman,0.3984283141844698,Ivan Dzhur,0.45494110076251976,Jezrel Sabaduquia,0.5266623119081888,Marcus Nyberg,0.47877461199937443
9,J Jensen,0.174441092026677,J Jensen,0.174441092026677,A Hijmans,0.34520926204573255,Rishad Patell,0.3969347571081443,Joerg Boese,0.4516779806327251,P Pomeranze,0.5250311892780081,Bojan Tercon,0.4787339413731428
